Pull;Push;Squat;Core;Stabiliser;
Neutral grip Rows;Incline;Standard Squat;Bear Crawls,;MFT SL front whip;
Row Reaches;Push Ups;SL Squats;Supermanâ€™s with Band,;MFT SL side whip;
Archers;Narrow Push Ups;Stationary fw Lunges;Half Bridges,;MFT SL stabilise;
Overhand grip Rows;Diamond Push Ups;Walking Lunges;Hollow holds,;MFT SL Split squat;
Reverse grip Rows;Planche Push Up;Stationary bw Lunges;Side Planks,;MFT SL diagonal wipp;
Face Pull;Knuckle;Step Ups;Clam Shell;MFT squat;
External Rotation;Parallette;Horse Position;Front Plank,;MFT front wipp;
QL Extension;Neutral grip;Sumo Squats;Back Plank,;MFT side wipp;
;;Bulletproof Squats;Scapula Holds;MFT stabilise;
;;ATG Split Squat;High Bear Crawls;MFT diagonal wipp;
;;Patrick Step;Strict Sit-up;MFT bridge;
;;Tibialis Raise;Hitlers Dog;MFT scapula hold;
;;Knees Over Toes Calf Raise;Windshield Wipers;;
;;Tib Bar Curls;Two/Three Point;;
;;Nordic Hamstring Curl;Kayaker;;
;;MonkeyFeet Knee Raise;Leg Raise;;
;;Reverse Squat;Bridge w/ leg extension;;
;;Seated Good Morning;L-Sit;;
;;Teardrop Squat;Garhammer Raise;;
;;Back Extension;;;
;;Single Leg Calf Raise;;;
;;ATG RDL;;;
;;Peterson Step Up;;;
;;Poliquin Step Up;;;
;;Jefferson Curl;;;
